commodity,title,date,source,description,url
wheat,"Falling prices, borrowing binge doom Midwest 'go-go farmers'",2016-10-31,reuters.com,"An extended U.S. drought during the period pushed agricultural commodity prices to record highs, making farmland loans more attractive to banks. Some lenders, ...",http://www.reuters.com/investigates/special-report/usa-farm-debt/
wheat,Egypt's dirty wheat problem,2016-03-15,reuters.com,Supplies Minister Khaled Hanafi told Egyptian reporters in late 2014 that roughly 50 percent of the country's flour supply was stolen. ... market. The ...,http://www.reuters.com/investigates/special-report/egypt-wheat-corruption/
wheat,"Soybeans up for 2nd day on strong demand, U.S. crush data",2016-11-16,reuters.com,"Commodity funds were net buyers of CBOT corn, wheat and soybean futures contracts on Tuesday, traders said. Trader estimates of net fund buying in corn ...",https://www.reuters.com/article/world/us/soybeans-up-for-2nd-day-on-strong-demand-us-crush-data-idUSL4N1DH1C3/
wheat,"Japan, South Korea block certain U.S. wheat varieties over ...",2016-08-01,reuters.com,"South Korea, the fifth largest market for U.S. wheat, had already said it would ... Nations meet to discuss fossil fuel exit as Iran war drives up prices.",https://www.reuters.com/article/business/environment/japan-south-korea-block-certain-us-wheat-varieties-over-gmo-concerns-usda-idUSKCN10C3CG/
wheat,Egypt's wheat corruption scandal takes down embattled ...,2016-08-26,reuters.com,Egypt's wheat corruption scandal takes down embattled supply minister. By ... crisis squarely on his shoulders. Advertisement · Scroll to continue.,https://www.reuters.com/article/business/finance/egypts-wheat-corruption-scandal-takes-down-embattled-supply-minister-idUSKCN1110GX/
wheat,U.S. companies hope Trump will stick to business roots ...,2016-11-28,reuters.com,"Cuba also represents a potential market for U.S. products such as chickens, wheat and rice, though U.S. farm exports ... war and ​also unprecedented attacks ...",https://www.reuters.com/article/world/us-companies-hope-trump-will-stick-to-business-roots-back-cuba-ties-idUSKBN13O007/
wheat,Pork giant Smithfield skips middlemen in grain supply chain,2016-12-29,reuters.com,"Trading fees for commercial grain handling can run to 20 cents a bushel in tight-supply markets, but drop to just a few pennies when grain prices are low. Juan ...",https://www.reuters.com/article/world/uk/pork-giant-smithfield-skips-middlemen-in-grain-supply-chain-idUSKBN14J0DB/
wheat,Exclusive - Yemen's food crisis deepens as banks cut ...,2016-03-04,reuters.com,"""Prices are already going up because of the war and the rise in the cost of ... Browse an unrivalled portfolio of real-time and historical market data and ...",https://www.reuters.com/article/world/exclusive-yemens-food-crisis-deepens-as-banks-cut-credit-for-shipments-idUSKCN0W61RS/
wheat,U.S. seek options as farm loan funds run out of cash,2016-07-25,reuters.com,As the rural sector struggles with low commodity prices and mounting trade ... China condemns EU's inclusion of Chinese entities in sanctions package against ...,https://www.reuters.com/article/business/us-seek-options-as-farm-loan-funds-run-out-of-cash-idUSKCN1052C8/
wheat,India's sugar exports halt as prices surge on lower output ...,2016-04-04,reuters.com,India's sugar exports halt as prices ... prices in four years due to the Iran war. But with grain prices too low to cushion the blow from the deeper supply ...,https://www.reuters.com/article/world/indias-sugar-exports-halt-as-prices-surge-on-lower-output-forecast-idUSKCN0X20CA/
wheat,"Asia faces tight noodle wheat supply, Australian farmers ...",2017-04-28,reuters.com,Israel and Hamas at War · Japan · Middle East · Ukraine and Russia at War ... The market has since recovered to trade around $200 a tonne but prices are ...,https://www.reuters.com/article/uk-asia-wheat-noodles-idUSKBN17U0H5/
wheat,"India's wheat, pulses output seen rising, to curb imports",2017-11-28,reuters.com,India's production of wheat and pulses is expected to jump in 2018 as a hike in the government's assured purchase prices and ample rainfall have prompted ...,https://www.reuters.com/article/world/indias-wheat-pulses-output-seen-rising-to-curb-imports-idUSKBN1DT0FF/
wheat,"Wheat edges up after 3 days of decline, gains capped by ...",2017-10-18,reuters.com,"... exports, is ... wheat prices. ""Buyers have emerged at these levels several times since late August."" Reflecting the loss of market share for U.S. wheat ...",https://www.reuters.com/article/global-grains-idINL4N1MU1JF/
wheat,Yemen's wheat stocks will run out at end of March: U.N.,2017-02-10,reuters.com,"... wheat crisis than previously thought. On Jan. 27, the top U.N. aid official in the country told Reuters that Yemen had roughly three months' supply. ... war ...",https://www.reuters.com/article/world/yemens-wheat-stocks-will-run-out-at-end-of-march-un-idUSKBN15P2A6/
wheat,"Exclusive - As austerity-hit Egyptians turn to bread, wheat ...",2017-03-16,reuters.com,"Although small, they showed what could happen if imports do not keep pace with demand or prices go up. ""The bread subsidy will not be touched,"" Supply Minister ...",https://www.reuters.com/article/world/exclusive-as-austerity-hit-egyptians-turn-to-bread-wheat-imports-hit-new-high-idUSKBN16N2B1/
wheat,"Supply, demand worries pull CME hogs from 4-month high",2017-12-18,reuters.com,... prices hoisted December futures above their 40-day moving average of 119.766 cents. ... Oil prices rise as no end to Iran war stand-off seems in sight · Fuel ...,https://www.reuters.com/article/usa-livestock/livestock-supply-demand-worries-pull-cme-hogs-from-4-month-high-idUSL1N1OI1YL/
